iso3,year,threshold,hansen_loss_ha,protected_loss_ha,viirs_fire_count,viirs_fire_unique_pxday,hansen_gain_2000_2012_ha,fao_forest_area_kha,fao_forest_area_ha,fao_net_change_ha,fao_source,protected_loss_share,discrepancy_ratio,gdp_per_capita_ppp_const2017,agriculture_value_added_share_gdp_pct
SUR,2018,30,18831.510652157485,311.812587980203,1152.0,1152.0,6864.854889826815,14799.49767093937,14799497.670939373,-16051.92603594996,FRA2025_PCHIP,0.01655802307843419,1.1731620622959735,19827.58446561186,8.536
SUR,2019,30,17843.01677717864,462.2501043748604,1610.5,1610.5,6864.854889826815,14782.327163268945,14782327.163268942,-17170.507670428604,FRA2025_PCHIP,0.02590649945283255,1.039166524348505,19459.47309201723,8.338000000000001
SUR,2020,30,14547.235943400185,675.491625522091,1777.5,1777.5,6864.854889826815,14765.46,14765460.0,-16867.163268942386,FRA2025_PCHIP,0.04643436238679756,0.8624589512444041,19091.3617184226,8.14
SUR,2021,30,12047.839784025971,351.6283442451649,1165.0,1165.0,6864.854889826815,14748.78446993735,14748784.46993735,-16675.5300626494,FRA2025_PCHIP,0.029186007661836856,0.7224861661825829,19091.3617184226,8.14
SUR,2022,30,14204.72850787433,356.97038759196585,685.5,685.5,6864.854889826815,14731.27282867952,14731272.82867952,-17511.641257829964,FRA2025_PCHIP,0.02513039143226714,0.8111591768431747,19091.3617184226,8.14
SUR,2023,30,25155.036058498445,1192.0356732946846,2120.0,2120.0,6864.854889826815,14712.972952453014,14712972.952453014,-18299.876226507127,FRA2025_PCHIP,0.04738755573725222,1.374601431569341,19091.3617184226,8.14
URY,2015,30,17578.63761599586,1.677332398376009,8.5,8.5,501328.3432275904,1834.39,1834390.0,,FRA2025_PCHIP,9.541879382334518e-05,,26334.01025803855,6.885
URY,2016,30,23758.51285069704,7.669284406664891,22.0,22.0,501328.3432275904,1856.172233752349,1856172.233752349,21782.23375234893,FRA2025_PCHIP,0.00032280153454301267,,26624.8453057939,6.822
URY,2017,30,21695.119934653198,18.54172565166525,16.0,16.0,501328.3432275904,1876.1571995543788,1876157.1995543789,19984.96580202994,FRA2025_PCHIP,0.0008546496035750837,,26915.68035354925,6.759
URY,2018,30,19332.7251257745,88.06003299020666,3.5,3.5,501328.3432275904,1895.0150484802343,1895015.0484802343,18857.84892585548,FRA2025_PCHIP,0.004554972587532655,,27206.515401304598,6.696000000000001
URY,2019,30,14456.896264652609,3.04508586374996,3.0,3.0,501328.3432275904,1913.41593160406,1913415.93160406,18400.883123825304,FRA2025_PCHIP,0.00021063206154389125,,27497.350449059948,6.633
URY,2020,30,12675.670615443443,31.8862352564036,19.0,19.0,501328.3432275904,1932.03,1932030.0,18614.068395940358,FRA2025_PCHIP,0.002515546216352049,,27788.1854968153,6.57
URY,2021,30,17003.162409377335,11.927007557212834,21.5,21.5,501328.3432275904,1950.866748622963,1950866.748622963,18836.74862296297,FRA2025_PCHIP,0.0007014581917205605,,27788.1854968153,6.57
URY,2022,30,15819.961620221093,8.122862398526378,6.0,6.0,501328.3432275904,1969.486192200833,1969486.1922008328,18619.44357787026,FRA2025_PCHIP,0.0005134565173750944,,27788.1854968153,6.57
URY,2023,30,20848.598839674003,32.40672920228996,3.0,3.0,501328.3432275904,1987.884261467222,1987884.261467222,18398.06926638889,FRA2025_PCHIP,0.0015543840356610115,,27788.1854968153,6.57
VEN,2015,30,49264.54496171182,17214.363397245008,24137.5,24127.0,150147.32484119543,47879.23,47879230.0,,FRA2025_PCHIP,0.3494270252698758,,,5.38
VEN,2016,30,171286.01242414297,98355.20799775928,53832.5,53807.5,150147.32484119543,47766.53347367313,47766533.47367313,-112696.5263268724,FRA2025_PCHIP,0.5742162282008731,1.5198872405998902,,5.38
VEN,2017,30,112983.27258518222,47634.86933707253,43632.5,43611.5,150147.32484119543,47644.841892340366,47644841.89234037,-121691.58133275808,FRA2025_PCHIP,0.4216099272674091,0.9284395136277872,,5.38
VEN,2018,30,79445.01306434018,33849.601628922675,41228.5,41208.0,150147.32484119543,47525.04557417102,47525045.57417101,-119796.3181693554,FRA2025_PCHIP,0.42607585200481846,0.6631674017896709,,5.38
VEN,2019,30,118547.37071423935,53893.140730826315,67321.0,67290.5,150147.32484119543,47418.034837334446,47418034.83733445,-107010.73683656752,FRA2025_PCHIP,0.4546127038172507,1.107808190268713,,5.38
VEN,2020,30,102045.26221551263,47838.524379197355,86771.0,86723.5,150147.32484119543,47334.7,47334700.0,-83334.83733444661,FRA2025_PCHIP,0.46879711356089865,1.224521046413947,,5.38
VEN,2021,30,48577.509225739996,21982.781746499655,57972.0,57936.0,150133.3920054615,47268.75101982275,47268751.01982275,-65948.98017725348,FRA2025_PCHIP,0.4525300308079924,0.7365922732266131,,5.38
VEN,2022,30,43447.52401743593,19349.164994591316,32798.5,32786.0,150133.3920054615,47208.4347973006,47208434.7973006,-60316.222522147,FRA2025_PCHIP,0.4453456309000785,0.7203289960919353,,5.38
VEN,2023,30,60928.82096583718,29349.54908006129,47974.0,47955.5,150147.32484119543,47156.44706486706,47156447.06486706,-51987.73243353516,FRA2025_PCHIP,0.4817022324544504,1.17198458393493,,5.38
